,date,frequency,avg_passenger_count,avg_trip_distance,avg_fare_amount,avg_tip_amount,avg_total_amount,sum_passenger_count,sum_trip_distance,sum_fare_amount,sum_tip_amount,sum_total_amount,date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,policy,policy_coverage_area
89,2020-04-30,6987,1.0,2.173536567911838,9.144472591956491,1.4050679833977395,13.713927293546227,6987.0,15186.500000000013,63892.43,9817.210000000006,95819.21000000749,2020-04-30,2022.0,253.0,224.0,2073.0,2116.0,340.0,255.0,298.0,1.0,1.0
90,2020-05-01,7990,1.0,2.203679599499375,9.262121401752191,1.3097596996245304,13.70083979975085,7990.0,17607.40000000001,74004.35,10464.979999999998,109469.71000000929,2020-05-01,1887.0,262.0,210.0,1980.0,2020.0,311.0,240.0,280.0,1.0,1.0
91,2020-05-02,5823,1.0,2.3104121586810775,9.555923063712862,1.278462991585089,13.67385024901342,5823.0,13453.529999999913,55644.14,7444.4899999999725,79622.83000000514,2020-05-02,1058.0,205.0,190.0,1904.0,1941.0,294.0,229.0,267.0,1.0,1.0
92,2020-05-03,4136,1.0,2.3052852998065783,9.430447292069632,1.3147533849129576,13.61666102514558,4136.0,9534.660000000007,39004.329999999994,5437.819999999992,56318.51000000212,2020-05-03,787.0,215.0,177.0,1873.0,1907.0,281.0,220.0,254.0,1.0,1.0
93,2020-05-04,7174,1.0,2.2206161137440796,9.333495957624756,1.3149637580150497,13.781582102036223,7174.0,15930.700000000026,66958.5,9433.549999999967,98869.07000000787,2020-05-04,1550.0,238.0,158.0,1767.0,1800.0,262.0,204.0,236.0,1.0,1.0
94,2020-05-05,7123,1.0,2.2258037343815826,9.33798118770181,1.3525424680612075,13.871686087323827,7123.0,15854.400000000012,66514.44,9634.159999999982,98808.02000000761,2020-05-05,1512.0,212.0,151.0,1594.0,1624.0,242.0,192.0,223.0,1.0,1.0
95,2020-05-06,7621,1.0,2.2679254690985484,9.43794777588243,1.3698281065476974,13.989787429472305,7621.0,17283.860000000037,71926.59999999999,10439.460000000001,106616.17000000844,2020-05-06,1398.0,212.0,151.0,1459.0,1488.0,228.0,180.0,209.0,1.0,1.0
96,2020-05-07,7561,1.0,2.264676630075387,9.470764449146937,1.3457730458933996,13.995364369793489,7561.0,17123.22,71608.45,10175.389999999994,105818.95000000857,2020-05-07,1238.0,176.0,141.0,1347.0,1375.0,217.0,168.0,196.0,1.0,1.0
97,2020-05-08,8318,1.0,2.1877470545804387,9.244883385429192,1.368642702572733,13.79789492666622,8318.0,18197.680000000088,76898.94000000002,11384.369999999994,114770.89000000962,2020-05-08,1079.0,169.0,131.0,1232.0,1257.0,204.0,157.0,183.0,1.0,1.0
98,2020-05-09,5638,1.0,2.2308052500886917,9.268148279531749,1.3014278112805953,13.420296204328672,5638.0,12577.280000000042,52253.82,7337.449999999996,75663.63000000505,2020-05-09,657.0,122.0,99.0,1174.0,1197.0,192.0,144.0,166.0,1.0,1.0
